序号,起始日期,截止日期,总发行量(亿元),发行只数,总偿还量(亿元),净融资额(亿元),到期偿还量(亿元),到期只数,提前兑付量(亿元),提前兑付只数,回售量(亿元),回售只数,赎回量(亿元),赎回只数,现金要约金额(亿元),现金要约只数
165,2025-03-07,2025-03-07,2750.0,4,0.0,2750.0,0.0,0,0,0,0,0,0,0,0,0
166,2025-03-06,2025-03-06,580.0,7,470.0,110.0,470.0,2,0,0,0,0,0,0,0,0
167,2025-03-05,2025-03-05,1572.4,5,0.0,1572.4,0.0,0,0,0,0,0,0,0,0,0
168,2025-03-04,2025-03-04,310.0,4,50.0,260.0,50.0,1,0,0,0,0,0,0,0,0
169,2025-03-03,2025-03-03,200.0,3,0.0,200.0,0.0,0,0,0,0,0,0,0,0,0
170,2025-03-02,2025-03-02,0.0,0,1551.8,-1551.8,1551.8,1,0,0,0,0,0,0,0,0
171,2025-03-01,2025-03-01,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
172,2025-02-28,2025-02-28,150.0,2,0.0,150.0,0.0,0,0,0,0,0,0,0,0,0
173,2025-02-27,2025-02-27,622.1,7,1502.0,-879.9,1502.0,2,0,0,0,0,0,0,0,0
174,2025-02-26,2025-02-26,260.0,2,1059.6,-799.6,1059.6,1,0,0,0,0,0,0,0,0
175,2025-02-25,2025-02-25,360.0,4,0.0,360.0,0.0,0,0,0,0,0,0,0,0,0
176,2025-02-24,2025-02-24,2335.0,5,2536.6,-201.6,2536.6,2,0,0,0,0,0,0,0,0
177,2025-02-23,2025-02-23,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
178,2025-02-22,2025-02-22,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
179,2025-02-21,2025-02-21,150.5,2,0.0,150.5,0.0,0,0,0,0,0,0,0,0,0
180,2025-02-20,2025-02-20,650.0,8,802.3,-152.3,802.3,2,0,0,0,0,0,0,0,0
181,2025-02-19,2025-02-19,1718.0,5,0.0,1718.0,0.0,0,0,0,0,0,0,0,0,0
182,2025-02-18,2025-02-18,317.4,4,0.0,317.4,0.0,0,0,0,0,0,0,0,0,0
183,2025-02-17,2025-02-17,249.5,3,0.0,249.5,0.0,0,0,0,0,0,0,0,0,0
184,2025-02-16,2025-02-16,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
185,2025-02-15,2025-02-15,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
186,2025-02-14,2025-02-14,2770.0,7,0.0,2770.0,0.0,0,0,0,0,0,0,0,0,0
187,2025-02-13,2025-02-13,530.0,7,600.0,-70.0,600.0,1,0,0,0,0,0,0,0,0
188,2025-02-12,2025-02-12,1385.6,5,0.0,1385.6,0.0,0,0,0,0,0,0,0,0,0
189,2025-02-11,2025-02-11,315.2,4,0.0,315.2,0.0,0,0,0,0,0,0,0,0,0
190,2025-02-10,2025-02-10,243.5,3,650.0,-406.5,650.0,1,0,0,0,0,0,0,0,0
191,2025-02-09,2025-02-09,0.0,0,480.0,-480.0,480.0,1,0,0,0,0,0,0,0,0
192,2025-02-08,2025-02-08,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
193,2025-02-07,2025-02-07,1550.0,5,0.0,1550.0,0.0,0,0,0,0,0,0,0,0,0
194,2025-02-06,2025-02-06,300.0,4,400.0,-100.0,400.0,1,0,0,0,0,0,0,0,0
195,2025-02-05,2025-02-05,1755.2,7,670.0,1085.2,670.0,1,0,0,0,0,0,0,0,0
196,2025-02-04,2025-02-04,0.0,0,20.0,-20.0,20.0,1,0,0,0,0,0,0,0,0
197,2025-02-03,2025-02-03,0.0,0,40.0,-40.0,40.0,1,0,0,0,0,0,0,0,0
198,2025-02-02,2025-02-02,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
199,2025-02-01,2025-02-01,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
200,2025-01-31,2025-01-31,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
201,2025-01-30,2025-01-30,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
202,2025-01-29,2025-01-29,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
203,2025-01-28,2025-01-28,0.0,0,30.0,-30.0,30.0,1,0,0,0,0,0,0,0,0
204,2025-01-27,2025-01-27,0.0,0,450.0,-450.0,450.0,1,0,0,0,0,0,0,0,0
205,2025-01-26,2025-01-26,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
206,2025-01-25,2025-01-25,0.0,0,3050.0,-3050.0,3050.0,1,0,0,0,0,0,0,0,0
207,2025-01-24,2025-01-24,2290.0,2,0.0,2290.0,0.0,0,0,0,0,0,0,0,0,0
208,2025-01-23,2025-01-23,280.0,3,600.0,-320.0,600.0,1,0,0,0,0,0,0,0,0
209,2025-01-22,2025-01-22,2140.0,4,1030.7,1109.3,1030.7,2,0,0,0,0,0,0,0,0
210,2025-01-21,2025-01-21,477.5,5,20.0,457.5,20.0,1,0,0,0,0,0,0,0,0
211,2025-01-20,2025-01-20,268.1,3,0.0,268.1,0.0,0,0,0,0,0,0,0,0,0
212,2025-01-19,2025-01-19,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
213,2025-01-18,2025-01-18,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
214,2025-01-17,2025-01-17,306.0,4,0.0,306.0,0.0,0,0,0,0,0,0,0,0,0
215,2025-01-16,2025-01-16,440.5,6,903.0,-462.5,903.0,2,0,0,0,0,0,0,0,0
216,2025-01-15,2025-01-15,1399.8,4,0.0,1399.8,0.0,0,0,0,0,0,0,0,0,0
217,2025-01-14,2025-01-14,1765.0,5,20.0,1745.0,20.0,1,0,0,0,0,0,0,0,0
218,2025-01-13,2025-01-13,232.3,3,570.0,-337.7,570.0,2,0,0,0,0,0,0,0,0
219,2025-01-12,2025-01-12,0.0,0,1465.5,-1465.5,1465.5,1,0,0,0,0,0,0,0,0
