交易日期,机构分类,净买入交易量（亿元）
2023/09/25,基金,35.21
2023/09/25,银行,-175.27
2023/09/26,保险,30.61
2023/09/26,其他,-21.32
2023/09/26,券商,71.52
2023/09/26,基金,-101.79
2023/09/26,银行,21.0
2023/09/27,保险,21.95
2023/09/27,其他,18.15
2023/09/27,券商,-3.719999999999999
2023/09/27,基金,-11.37
2023/09/27,银行,-24.99999999999999
2023/09/28,保险,13.23
2023/09/28,其他,40.59999999999999
2023/09/28,券商,-10.52
2023/09/28,基金,5.68
2023/09/28,银行,-49.00999999999999
2023/10/07,保险,-0.2
2023/10/07,其他,-1.12
2023/10/07,券商,0.0
2023/10/07,基金,0.0
2023/10/07,银行,1.33
2023/10/08,保险,-1.12
2023/10/08,其他,-0.5
2023/10/08,券商,0.0
2023/10/08,基金,0.0
2023/10/08,银行,1.63
2023/10/09,保险,-7.039999999999999
2023/10/09,其他,-15.76
2023/10/09,券商,-47.46
2023/10/09,基金,56.85
2023/10/09,银行,13.38
2023/10/10,保险,-4.93
2023/10/10,其他,6.020000000000001
2023/10/10,券商,-15.72
2023/10/10,基金,-31.82
2023/10/10,银行,46.45
2023/10/11,保险,0.06000000000000005
2023/10/11,其他,14.68
2023/10/11,券商,-104.69
2023/10/11,基金,-67.24000000000001
2023/10/11,银行,157.19
2023/10/12,保险,-11.88
2023/10/12,其他,-14.68
2023/10/12,券商,-39.79
2023/10/12,基金,-83.8
2023/10/12,银行,150.17
2023/10/13,保险,-2.450000000000001
2023/10/13,其他,19.79
2023/10/13,券商,2.799999999999997
2023/10/13,基金,-24.56
2023/10/13,银行,4.420000000000002
2023/10/16,保险,-4.88
2023/10/16,其他,-27.84
2023/10/16,券商,0.7199999999999998
2023/10/16,基金,78.91999999999999
2023/10/16,银行,-46.91999999999999
2023/10/17,保险,-0.57
2023/10/17,其他,1.550000000000001
2023/10/17,券商,-50.47
2023/10/17,基金,-7.490000000000001
2023/10/17,银行,56.97000000000001
2023/10/18,保险,-0.1500000000000001
2023/10/18,其他,4.52
2023/10/18,券商,-92.03
2023/10/18,基金,-47.52
2023/10/18,银行,135.15
2023/10/19,保险,1.67
2023/10/19,其他,-46.99
2023/10/19,券商,-33.33
2023/10/19,基金,-77.93
2023/10/19,银行,156.56
2023/10/20,保险,-0.6199999999999997
2023/10/20,其他,19.35
2023/10/20,券商,-121.81
2023/10/20,基金,-36.73
2023/10/20,银行,139.82
2023/10/23,保险,2.68
2023/10/23,其他,12.7
2023/10/23,券商,-19.39
2023/10/23,基金,50.54
2023/10/23,银行,-46.52
2023/10/24,保险,0.78
2023/10/24,其他,-22.28
2023/10/24,券商,73.22999999999999
2023/10/24,基金,9.66
2023/10/24,银行,-61.36
2023/10/25,保险,-1.02
2023/10/25,其他,35.86
2023/10/25,券商,-57.04
2023/10/25,基金,23.76
2023/10/25,银行,-1.570000000000002
2023/10/26,保险,11.32
2023/10/26,其他,-20.53
2023/10/26,券商,-37.35
2023/10/26,基金,28.94
2023/10/26,银行,17.62
2023/10/27,保险,19.88
2023/10/27,其他,10.48
2023/10/27,券商,226.34
2023/10/27,基金,28.42
2023/10/27,银行,-285.12
2023/10/30,保险,-5.79
2023/10/30,其他,23.3
2023/10/30,券商,0.9400000000000004
2023/10/30,基金,-55.89
2023/10/30,银行,37.45
2023/10/31,保险,1.03
2023/10/31,其他,34.55
2023/10/31,券商,27.34
2023/10/31,基金,39.37
2023/10/31,银行,-102.32
2023/11/01,保险,-0.34
2023/11/01,其他,34.71
2023/11/01,券商,23.0
2023/11/01,基金,107.49
2023/11/01,银行,-164.85
2023/11/02,保险,-0.5099999999999998
2023/11/02,其他,-35.43
2023/11/02,券商,64.35
2023/11/02,基金,25.5
2023/11/02,银行,-53.9
2023/11/03,保险,8.520000000000001
2023/11/03,其他,9.690000000000001
2023/11/03,券商,77.38999999999999
2023/11/03,基金,74.76
2023/11/03,银行,-170.34
2023/11/06,保险,-2.859999999999999
2023/11/06,其他,-49.88
2023/11/06,券商,-5.790000000000001
2023/11/06,基金,92.31
2023/11/06,银行,-33.78
2023/11/07,保险,2.41
2023/11/07,其他,-7.26
2023/11/07,券商,-0.5299999999999994
2023/11/07,基金,-16.01
2023/11/07,银行,21.37000000000001
2023/11/08,保险,-5.27
2023/11/08,其他,-49.54
2023/11/08,券商,5.380000000000001
2023/11/08,基金,-8.22
2023/11/08,银行,57.63
2023/11/09,保险,-3.16
2023/11/09,其他,13.39
2023/11/09,券商,-7.249999999999999
2023/11/09,基金,97.67
2023/11/09,银行,-100.65
2023/11/10,保险,3.8
2023/11/10,其他,-24.96
2023/11/10,券商,87.85
2023/11/10,基金,-30.63
2023/11/10,银行,-36.07000000000001
2023/11/13,保险,-1.99
2023/11/13,其他,5.800000000000001
2023/11/13,券商,-40.51000000000001
2023/11/13,基金,33.33
2023/11/13,银行,3.369999999999997
2023/11/14,保险,3.01
2023/11/14,其他,40.99
2023/11/14,券商,-49.66999999999999
2023/11/14,基金,-18.81
2023/11/14,银行,24.49000000000001
2023/11/15,保险,4.64
2023/11/15,其他,3.930000000000001
2023/11/15,券商,-29.46
2023/11/15,基金,-58.23999999999999
2023/11/15,银行,79.12
2023/11/16,保险,2.67
2023/11/16,其他,0.9500000000000004
2023/11/16,券商,0.8399999999999999
2023/11/16,基金,4.729999999999999
2023/11/16,银行,-9.21
2023/11/17,保险,3.59
2023/11/17,其他,26.53
2023/11/17,券商,-15.7
2023/11/17,基金,59.56999999999999
2023/11/17,银行,-73.99
2023/11/20,保险,2.22
2023/11/20,其他,-11.42
2023/11/20,券商,-8.27
2023/11/20,基金,47.15000000000001
2023/11/20,银行,-29.66999999999999
2023/11/21,保险,0.9599999999999999
2023/11/21,其他,-25.91
2023/11/21,券商,-54.93
2023/11/21,基金,0.1100000000000003
2023/11/21,银行,79.74
2023/11/22,保险,3.09
2023/11/22,其他,-44.07
2023/11/22,券商,-17.9
2023/11/22,基金,-89.9
2023/11/22,银行,148.77
2023/11/23,保险,4.67
2023/11/23,其他,-11.57
2023/11/23,券商,-57.5
2023/11/23,基金,-72.76
2023/11/23,银行,137.17
2023/11/24,保险,7.819999999999999
2023/11/24,其他,-1.709999999999998
2023/11/24,券商,-93.12
2023/11/24,基金,-22.46
2023/11/24,银行,109.46
2023/11/27,保险,3.27
2023/11/27,其他,5.720000000000002
2023/11/27,券商,-52.95
2023/11/27,基金,-26.22
2023/11/27,银行,70.17
2023/11/28,保险,-15.48
2023/11/28,其他,63.85
2023/11/28,券商,26.42
2023/11/28,基金,0.5399999999999991
2023/11/28,银行,-75.34
2023/11/29,保险,6.19
2023/11/29,其他,106.17
2023/11/29,券商,157.17
2023/11/29,基金,20.84
2023/11/29,银行,-290.37
2023/11/30,保险,-2.01
2023/11/30,其他,25.7
2023/11/30,券商,8.4
2023/11/30,基金,41.16
2023/11/30,银行,-73.25
2023/12/01,保险,5.010000000000001
2023/12/01,其他,23.42
2023/12/01,券商,20.73
2023/12/01,基金,21.14
2023/12/01,银行,-70.32000000000001
2023/12/04,保险,-2.62
2023/12/04,其他,-11.72
2023/12/04,券商,-33.68
2023/12/04,基金,12.49
2023/12/04,银行,35.55
2023/12/05,保险,7.199999999999999
2023/12/05,其他,-31.75
2023/12/05,券商,16.3
2023/12/05,基金,-21.78
2023/12/05,银行,30.06
2023/12/06,保险,6.54
2023/12/06,其他,0.06000000000000094
2023/12/06,券商,-2.18
2023/12/06,基金,-0.1499999999999986
2023/12/06,银行,-4.249999999999998
2023/12/07,保险,4.53
2023/12/07,其他,6.919999999999998
2023/12/07,券商,20.92
2023/12/07,基金,-2.910000000000001
2023/12/07,银行,-29.46
2023/12/08,保险,0.3
2023/12/08,其他,28.94
2023/12/08,券商,15.06
2023/12/08,基金,45.15
2023/12/08,银行,-89.46
2023/12/11,保险,-1.71
2023/12/11,其他,23.74
2023/12/11,券商,10.63
2023/12/11,基金,75.51
2023/12/11,银行,-108.15
2023/12/12,保险,-6.7
2023/12/12,其他,45.51
2023/12/12,券商,13.04
2023/12/12,基金,83.33
2023/12/12,银行,-135.18
2023/12/13,保险,3.65
2023/12/13,其他,27.58
2023/12/13,券商,55.99000000000001
2023/12/13,基金,119.28
2023/12/13,银行,-206.52
2023/12/14,保险,2.15
2023/12/14,其他,65.61
2023/12/14,券商,-21.03
2023/12/14,基金,101.4
2023/12/14,银行,-148.12
2023/12/15,保险,13.57
2023/12/15,其他,45.55
2023/12/15,券商,49.11
2023/12/15,基金,-33.83
2023/12/15,银行,-74.41999999999999
2023/12/18,保险,18.41
2023/12/18,其他,54.05
2023/12/18,券商,19.98
2023/12/18,基金,159.02
2023/12/18,银行,-251.5
2023/12/19,保险,19.92
2023/12/19,其他,36.89
2023/12/19,券商,-30.81
2023/12/19,基金,15.84
2023/12/19,银行,-41.84
2023/12/20,保险,29.65
2023/12/20,其他,-11.06
2023/12/20,券商,-21.51
2023/12/20,基金,-11.61
2023/12/20,银行,14.54
2023/12/21,保险,26.87
2023/12/21,其他,15.74
2023/12/21,券商,-53.73999999999999
2023/12/21,基金,72.02
2023/12/21,银行,-60.88999999999999
2023/12/22,保险,24.78
2023/12/22,其他,93.62
2023/12/22,券商,35.05
2023/12/22,基金,95.78
2023/12/22,银行,-249.23
2023/12/25,保险,32.66
2023/12/25,其他,42.27
2023/12/25,券商,77.18
2023/12/25,基金,208.08
2023/12/25,银行,-360.19
2023/12/26,保险,23.85
2023/12/26,其他,53.43
2023/12/26,券商,-5.399999999999999
2023/12/26,基金,102.03
2023/12/26,银行,-173.89
2023/12/27,保险,27.36
2023/12/27,其他,14.4
2023/12/27,券商,19.15
2023/12/27,基金,-24.69
2023/12/27,银行,-36.24000000000001
2023/12/28,保险,15.88
2023/12/28,其他,41.63
2023/12/28,券商,-14.07
2023/12/28,基金,71.88
2023/12/28,银行,-115.33
2023/12/29,保险,0.6900000000000002
2023/12/29,其他,34.42
2023/12/29,券商,-22.72
2023/12/29,基金,3.869999999999997
2023/12/29,银行,-16.25
2024/01/02,保险,12.32
2024/01/02,其他,-10.89
2024/01/02,券商,-32.71
2024/01/02,基金,-2.680000000000007
2024/01/02,银行,33.95
2024/01/03,保险,18.12
2024/01/03,其他,-1.769999999999999
2024/01/03,券商,-31.2
2024/01/03,基金,-88.6
2024/01/03,银行,103.43
2024/01/04,保险,12.62
2024/01/04,其他,14.86
2024/01/04,券商,90.38999999999999
2024/01/04,基金,-8.279999999999998
2024/01/04,银行,-109.59
2024/01/05,保险,-3.75
2024/01/05,其他,-2.270000000000001
2024/01/05,券商,108.54
2024/01/05,基金,125.54
2024/01/05,银行,-228.05
2024/01/08,保险,22.37
2024/01/08,其他,11.39
2024/01/08,券商,-51.45
2024/01/08,基金,168.34
2024/01/08,银行,-150.65
2024/01/09,保险,16.98
2024/01/09,其他,41.92
2024/01/09,券商,78.9
2024/01/09,基金,3.379999999999999
2024/01/09,银行,-141.18
2024/01/10,保险,12.03
2024/01/10,其他,37.1
2024/01/10,券商,-22.22
2024/01/10,基金,154.48
2024/01/10,银行,-181.39
2024/01/11,保险,6.510000000000001
2024/01/11,其他,11.07
2024/01/11,券商,-8.03
2024/01/11,基金,-56.99
2024/01/11,银行,47.45999999999998
2024/01/12,保险,10.18
2024/01/12,其他,75.55000000000001
2024/01/12,券商,0.1500000000000057
2024/01/12,基金,-110.82
2024/01/12,银行,24.95
2024/01/15,保险,16.21
2024/01/15,其他,-50.96
2024/01/15,券商,-90.47
2024/01/15,基金,-44.5
2024/01/15,银行,169.73
2024/01/16,保险,0.9100000000000001
2024/01/16,其他,34.28
2024/01/16,券商,-79.23
2024/01/16,基金,4.6
2024/01/16,银行,39.42
2024/01/17,保险,-6.399999999999999
2024/01/17,其他,7.659999999999998
2024/01/17,券商,25.78
2024/01/17,基金,-2.680000000000001
2024/01/17,银行,-24.36999999999999
2024/01/18,保险,13.07
2024/01/18,其他,46.77
2024/01/18,券商,-34.93
2024/01/18,基金,116.93
2024/01/18,银行,-141.81
2024/01/19,保险,15.62
2024/01/19,其他,8.269999999999998
2024/01/19,券商,44.29
2024/01/19,基金,35.86
2024/01/19,银行,-104.03
2024/01/22,保险,14.02
2024/01/22,其他,48.36
2024/01/22,券商,239.09
2024/01/22,基金,75.99000000000001
2024/01/22,银行,-377.48
2024/01/23,保险,34.11
2024/01/23,其他,79.84
2024/01/23,券商,-34.78
2024/01/23,基金,209.92
2024/01/23,银行,-289.08
2024/01/24,保险,19.79
2024/01/24,其他,-9.57
2024/01/24,券商,-11.12
2024/01/24,基金,-75.4
2024/01/24,银行,76.25999999999999
2024/01/25,保险,-11.89
2024/01/25,其他,86.41
2024/01/25,券商,18.92
2024/01/25,基金,26.06
2024/01/25,银行,-119.48
2024/01/26,保险,0.04999999999999971
2024/01/26,其他,21.36
2024/01/26,券商,-20.24
2024/01/26,基金,84.56
2024/01/26,银行,-85.74
2024/01/29,保险,6.9
2024/01/29,其他,24.8
2024/01/29,券商,97.48
2024/01/29,基金,8.7
2024/01/29,银行,-137.88
2024/01/30,保险,12.59
2024/01/30,其他,77.22999999999999
2024/01/30,券商,60.1
2024/01/30,基金,72.69
2024/01/30,银行,-222.61
2024/01/31,保险,16.46
2024/01/31,其他,64.79
2024/01/31,券商,99.59
2024/01/31,基金,103.12
2024/01/31,银行,-283.94
2024/02/01,保险,5.65
2024/02/01,其他,70.93
2024/02/01,券商,-147.91
2024/02/01,基金,40.51
2024/02/01,银行,30.86
2024/02/02,保险,2.1
2024/02/02,其他,-6.409999999999999
2024/02/02,券商,-96.65
2024/02/02,基金,-66.28
2024/02/02,银行,167.23
2024/02/04,保险,2.17
2024/02/04,其他,3.53
2024/02/04,券商,0.51
2024/02/04,基金,0.0
2024/02/04,银行,-6.249999999999999
2024/02/05,保险,28.88
2024/02/05,其他,95.86
2024/02/05,券商,116.83
2024/02/05,基金,140.14
2024/02/05,银行,-381.74
2024/02/06,保险,4.35
2024/02/06,其他,38.82
2024/02/06,券商,-55.77
2024/02/06,基金,-16.31
2024/02/06,银行,28.9
2024/02/07,保险,3.28
2024/02/07,其他,19.54
2024/02/07,券商,-50.56
2024/02/07,基金,-134.33
2024/02/07,银行,162.11
2024/02/08,保险,3.04
2024/02/08,其他,17.03
2024/02/08,券商,-17.51
2024/02/08,基金,50.08
2024/02/08,银行,-52.64
2024/02/09,保险,0.0
2024/02/09,其他,0.22
2024/02/09,券商,0.0
2024/02/09,基金,0.0
2024/02/09,银行,-0.22
2024/02/18,保险,-0.1
2024/02/18,其他,-0.2
2024/02/18,券商,-2.12
2024/02/18,基金,0.0
2024/02/18,银行,2.400000000000001
2024/02/19,保险,-8.04
2024/02/19,其他,23.16
2024/02/19,券商,-11.48
2024/02/19,基金,-68.16
2024/02/19,银行,64.53
2024/02/20,保险,8.52
2024/02/20,其他,-16.34
2024/02/20,券商,72.65
2024/02/20,基金,-59.17999999999999
2024/02/20,银行,-5.669999999999996
2024/02/21,保险,-1.15
2024/02/21,其他,30.67
2024/02/21,券商,12.64
2024/02/21,基金,64.66
2024/02/21,银行,-106.79
2024/02/22,保险,10.06
2024/02/22,其他,87.69999999999999
2024/02/22,券商,-19.25
2024/02/22,基金,-70.9
2024/02/22,银行,-7.569999999999996
2024/02/23,保险,14.25
2024/02/23,其他,8.530000000000001
2024/02/23,券商,123.77
2024/02/23,基金,105.56
2024/02/23,银行,-252.09
2024/02/26,保险,11.18
2024/02/26,其他,37.05
2024/02/26,券商,-16.34
2024/02/26,基金,92.16
2024/02/26,银行,-124.06
2024/02/27,保险,8.43
2024/02/27,其他,43.12
2024/02/27,券商,22.32
2024/02/27,基金,142.56
2024/02/27,银行,-216.43
2024/02/28,保险,6.01
2024/02/28,其他,87.21
2024/02/28,券商,-29.24999999999999
2024/02/28,基金,93.1
2024/02/28,银行,-157.11
2024/02/29,保险,5.400000000000002
2024/02/29,其他,37.23999999999999
2024/02/29,券商,29.99000000000001
2024/02/29,基金,120.06
2024/02/29,银行,-192.66
2024/03/01,保险,9.81
2024/03/01,其他,-29.8
2024/03/01,券商,-157.64
2024/03/01,基金,7.61
2024/03/01,银行,170.06
2024/03/04,保险,-14.52
2024/03/04,其他,-68.77
2024/03/04,券商,-45.31
2024/03/04,基金,-241.43
2024/03/04,银行,370.04
2024/03/05,保险,-25.9
2024/03/05,其他,22.28
2024/03/05,券商,123.85
2024/03/05,基金,129.86
2024/03/05,银行,-250.1
2024/03/06,保险,28.44
2024/03/06,其他,64.49
2024/03/06,券商,150.25
2024/03/06,基金,251.21
2024/03/06,银行,-494.42
2024/03/07,保险,1.0
2024/03/07,其他,56.36
2024/03/07,券商,-47.34
2024/03/07,基金,67.52000000000001
2024/03/07,银行,-77.56
2024/03/08,保险,-7.489999999999999
2024/03/08,其他,-55.25
2024/03/08,券商,-89.63
2024/03/08,基金,-132.24
2024/03/08,银行,284.58
2024/03/11,保险,-12.3
2024/03/11,其他,-29.45
2024/03/11,券商,-63.24
2024/03/11,基金,-140.91
2024/03/11,银行,245.89
2024/03/12,保险,-17.41
2024/03/12,其他,-102.63
2024/03/12,券商,-31.4
2024/03/12,基金,-233.32
2024/03/12,银行,384.76
2024/03/13,保险,-9.98
2024/03/13,其他,-80.9
2024/03/13,券商,-27.55
2024/03/13,基金,-208.5
2024/03/13,银行,326.94
2024/03/14,保险,9.67
2024/03/14,其他,-30.71
2024/03/14,券商,17.98
2024/03/14,基金,-54.75
2024/03/14,银行,57.8
2024/03/15,保险,5.190000000000001
2024/03/15,其他,-23.03
2024/03/15,券商,-81.82
2024/03/15,基金,46.81
2024/03/15,银行,52.85000000000002
2024/03/18,保险,9.75
2024/03/18,其他,108.11
2024/03/18,券商,-32.28
2024/03/18,基金,232.01
2024/03/18,银行,-317.58
2024/03/19,保险,-4.4
2024/03/19,其他,52.48
2024/03/19,券商,121.05
2024/03/19,基金,312.22
2024/03/19,银行,-481.36
2024/03/20,保险,0.9100000000000001
2024/03/20,其他,98.99
2024/03/20,券商,-138.47
2024/03/20,基金,152.13
2024/03/20,银行,-113.55
2024/03/21,保险,-9.22
2024/03/21,其他,10.73
2024/03/21,券商,-103.65
2024/03/21,基金,-48.27
2024/03/21,银行,150.39
2024/03/22,保险,-5.119999999999999
2024/03/22,其他,3.449999999999998
2024/03/22,券商,44.09
2024/03/22,基金,38.54
2024/03/22,银行,-80.94
2024/03/25,保险,33.53
2024/03/25,其他,-61.36
2024/03/25,券商,-144.19
2024/03/25,基金,41.09
2024/03/25,银行,130.9
2024/03/26,保险,-4.7
2024/03/26,其他,-27.72
2024/03/26,券商,-2.140000000000001
2024/03/26,基金,-88.23
2024/03/26,银行,122.78
2024/03/27,保险,9.81
2024/03/27,其他,74.55
2024/03/27,券商,35.61000000000001
2024/03/27,基金,-17.32
2024/03/27,银行,-102.65
2024/03/28,保险,-12.4
2024/03/28,其他,44.3
2024/03/28,券商,121.14
2024/03/28,基金,224.17
2024/03/28,银行,-377.21
2024/03/29,保险,18.65
2024/03/29,其他,77.13999999999999
2024/03/29,券商,-97.89999999999999
2024/03/29,基金,59.65
2024/03/29,银行,-57.55
2024/04/01,保险,-26.64
2024/04/01,其他,13.23
2024/04/01,券商,-30.49
2024/04/01,基金,85.97
2024/04/01,银行,-42.07
2024/04/02,保险,15.55
2024/04/02,其他,2.459999999999999
2024/04/02,券商,-150.71
2024/04/02,基金,-121.05
2024/04/02,银行,253.73
2024/04/03,保险,2.15
2024/04/03,其他,29.03
2024/04/03,券商,53.34999999999999
2024/04/03,基金,24.92
2024/04/03,银行,-109.47
2024/04/07,保险,0.0
2024/04/07,其他,-0.19
2024/04/07,券商,-0.21
2024/04/07,基金,0.0
2024/04/07,银行,0.4099999999999996
2024/04/08,保险,5.52
2024/04/08,其他,48.50000000000001
2024/04/08,券商,35.16
2024/04/08,基金,115.84
2024/04/08,银行,-205.04
2024/04/09,保险,13.14
2024/04/09,其他,9.64
2024/04/09,券商,139.88
2024/04/09,基金,54.37
2024/04/09,银行,-217.04
2024/04/10,保险,32.63
2024/04/10,其他,37.37
2024/04/10,券商,77.18
2024/04/10,基金,196.85
2024/04/10,银行,-344.03
2024/04/11,保险,12.19
2024/04/11,其他,-39.37
2024/04/11,券商,-29.28
2024/04/11,基金,-83.15
2024/04/11,银行,139.6
2024/04/12,保险,5.64
2024/04/12,其他,54.37
2024/04/12,券商,117.34
2024/04/12,基金,64.96000000000001
2024/04/12,银行,-242.32
2024/04/15,保险,23.91
2024/04/15,其他,134.81
2024/04/15,券商,73.49000000000001
2024/04/15,基金,371.23
2024/04/15,银行,-603.4499999999999
2024/04/16,保险,5.77
2024/04/16,其他,81.94999999999999
2024/04/16,券商,209.13
2024/04/16,基金,23.08
2024/04/16,银行,-319.93
2024/04/17,保险,-1.42
2024/04/17,其他,115.02
2024/04/17,券商,62.2
2024/04/17,基金,262.13
2024/04/17,银行,-437.95
2024/04/18,保险,21.72
2024/04/18,其他,121.37
2024/04/18,券商,10.74
2024/04/18,基金,282.4
2024/04/18,银行,-436.24
2024/04/19,保险,15.4
2024/04/19,其他,92.4
2024/04/19,券商,99.44
2024/04/19,基金,148.0
2024/04/19,银行,-355.23
2024/04/22,保险,18.2
2024/04/22,其他,43.52
2024/04/22,券商,4.100000000000001
2024/04/22,基金,121.74
2024/04/22,银行,-187.55
2024/04/23,保险,1.190000000000001
2024/04/23,其他,41.12
2024/04/23,券商,80.9
2024/04/23,基金,214.72
2024/04/23,银行,-337.93
2024/04/24,保险,26.2
2024/04/24,其他,70.16
2024/04/24,券商,46.94
2024/04/24,基金,45.46
2024/04/24,银行,-188.78
2024/04/25,保险,10.08
2024/04/25,其他,8.060000000000006
2024/04/25,券商,-124.57
2024/04/25,基金,-421.62
2024/04/25,银行,528.02
2024/04/26,保险,-0.01999999999999957
2024/04/26,其他,49.84999999999999
2024/04/26,券商,61.29
2024/04/26,基金,-107.55
2024/04/26,银行,-3.579999999999999
2024/04/28,保险,0.2
2024/04/28,其他,9.2
2024/04/28,券商,-1.11
2024/04/28,基金,0.0
2024/04/28,银行,-8.270000000000003
2024/04/29,保险,5.02
2024/04/29,其他,-72.6
2024/04/29,券商,-93.03
2024/04/29,基金,-475.51
2024/04/29,银行,636.1
2024/04/30,保险,5.5
2024/04/30,其他,51.56
2024/04/30,券商,-42.8
2024/04/30,基金,-121.82
2024/04/30,银行,107.56
2024/05/06,保险,1.21
2024/05/06,其他,39.22
2024/05/06,券商,-148.13
2024/05/06,基金,100.27
2024/05/06,银行,7.439999999999992
2024/05/07,保险,-10.5
2024/05/07,其他,-24.39
2024/05/07,券商,57.07
2024/05/07,基金,-52.81
2024/05/07,银行,30.62
2024/05/08,保险,14.32
2024/05/08,其他,42.61
2024/05/08,券商,-20.03
2024/05/08,基金,111.74
2024/05/08,银行,-148.65
2024/05/09,保险,6.529999999999999
2024/05/09,其他,-25.09
2024/05/09,券商,-47.21
2024/05/09,基金,-136.15
2024/05/09,银行,201.88
2024/05/10,保险,10.54
2024/05/10,其他,-104.04
2024/05/10,券商,-121.81
2024/05/10,基金,-120.03
2024/05/10,银行,335.3200000000001
2024/05/11,保险,0.11
2024/05/11,其他,8.06
2024/05/11,券商,-3.15
2024/05/11,基金,0.0
2024/05/11,银行,-5.01
2024/05/13,保险,-6.92
2024/05/13,其他,-14.01
2024/05/13,券商,119.22
2024/05/13,基金,-175.04
2024/05/13,银行,76.76
2024/05/14,保险,5.04
2024/05/14,其他,97.56
2024/05/14,券商,21.33
2024/05/14,基金,83.42
2024/05/14,银行,-207.4
2024/05/15,保险,13.41
2024/05/15,其他,3.749999999999999
2024/05/15,券商,-15.21
2024/05/15,基金,42.22
2024/05/15,银行,-44.16999999999999
2024/05/16,保险,-6.61
2024/05/16,其他,-29.35
2024/05/16,券商,-117.38
2024/05/16,基金,-12.28
2024/05/16,银行,165.6
2024/05/17,保险,-19.43
2024/05/17,其他,-37.8
2024/05/17,券商,-12.46
2024/05/17,基金,-115.58
2024/05/17,银行,185.27
2024/05/20,保险,7.23
2024/05/20,其他,-59.54
2024/05/20,券商,91.01
2024/05/20,基金,-80.97
2024/05/20,银行,42.25
2024/05/21,保险,-17.11
2024/05/21,其他,49.28
2024/05/21,券商,-23.21
2024/05/21,基金,-58.33
2024/05/21,银行,49.39
2024/05/22,保险,-2.11
2024/05/22,其他,-20.05
2024/05/22,券商,-19.75
2024/05/22,基金,-23.96
2024/05/22,银行,65.88
2024/05/23,保险,-2.48
2024/05/23,其他,27.74
2024/05/23,券商,8.5
2024/05/23,基金,21.93
2024/05/23,银行,-55.70999999999999
2024/05/24,保险,-2.149999999999999
2024/05/24,其他,58.35
2024/05/24,券商,-90.06
2024/05/24,基金,158.13
2024/05/24,银行,-124.27
2024/05/27,保险,7.789999999999999
2024/05/27,其他,41.82
2024/05/27,券商,7.910000000000003
2024/05/27,基金,-11.03
2024/05/27,银行,-46.46000000000001
2024/05/28,保险,-0.1100000000000003
2024/05/28,其他,52.75000000000001
2024/05/28,券商,176.71
2024/05/28,基金,52.31
2024/05/28,银行,-281.67
2024/05/29,保险,1.64
2024/05/29,其他,132.1
2024/05/29,券商,392.29
2024/05/29,基金,151.06
2024/05/29,银行,-677.11
2024/05/30,保险,-6.77
2024/05/30,其他,90.81
2024/05/30,券商,-16.32
2024/05/30,基金,116.61
2024/05/30,银行,-184.33
2024/05/31,保险,7.99
2024/05/31,其他,70.17
2024/05/31,券商,-129.28
2024/05/31,基金,110.63
2024/05/31,银行,-59.53
2024/06/03,保险,7.710000000000001
2024/06/03,其他,11.02
2024/06/03,券商,-37.57
2024/06/03,基金,24.2
2024/06/03,银行,-5.379999999999995
2024/06/04,保险,2.56
2024/06/04,其他,66.67
2024/06/04,券商,82.48
2024/06/04,基金,48.05
2024/06/04,银行,-199.75
2024/06/05,保险,7.71
2024/06/05,其他,7.949999999999999
2024/06/05,券商,43.64
2024/06/05,基金,125.5
2024/06/05,银行,-184.78
2024/06/06,保险,11.51
2024/06/06,其他,55.5
2024/06/06,券商,44.86
2024/06/06,基金,194.37
2024/06/06,银行,-306.28
2024/06/07,保险,13.02
2024/06/07,其他,14.74
2024/06/07,券商,5.189999999999998
2024/06/07,基金,115.27
2024/06/07,银行,-148.23
2024/06/11,保险,2.18
2024/06/11,其他,45.52999999999999
2024/06/11,券商,102.42
2024/06/11,基金,93.63
2024/06/11,银行,-243.79
2024/06/12,保险,8.65
2024/06/12,其他,47.66
2024/06/12,券商,5.200000000000001
2024/06/12,基金,144.99
2024/06/12,银行,-206.51
2024/06/13,保险,1.59
2024/06/13,其他,58.98
2024/06/13,券商,19.3
2024/06/13,基金,44.98999999999999
2024/06/13,银行,-124.87
2024/06/14,保险,11.81
2024/06/14,其他,143.9
2024/06/14,券商,69.63
2024/06/14,基金,199.77
2024/06/14,银行,-425.13
2024/06/17,保险,19.5
2024/06/17,其他,105.66
2024/06/17,券商,109.07
2024/06/17,基金,216.25
2024/06/17,银行,-450.48
2024/06/18,保险,5.21
2024/06/18,其他,77.9
2024/06/18,券商,70.58
2024/06/18,基金,149.1
2024/06/18,银行,-302.78
2024/06/19,保险,19.26
2024/06/19,其他,112.66
2024/06/19,券商,66.71
2024/06/19,基金,217.88
2024/06/19,银行,-416.52
2024/06/20,保险,5.76
2024/06/20,其他,69.42
2024/06/20,券商,92.50999999999999
2024/06/20,基金,229.68
2024/06/20,银行,-397.36
2024/06/21,保险,4.99
2024/06/21,其他,61.22
2024/06/21,券商,-7.22
2024/06/21,基金,9.639999999999999
2024/06/21,银行,-68.65
2024/06/24,保险,23.5
2024/06/24,其他,27.52
2024/06/24,券商,6.029999999999999
2024/06/24,基金,-0.5800000000000001
2024/06/24,银行,-56.45
2024/06/25,保险,33.0
2024/06/25,其他,66.07
2024/06/25,券商,42.05
2024/06/25,基金,158.29
