date,yield_10y,stage1_pred__liquidity__dr001__t+20,stage1_pred__liquidity__dr007__t+20,stage1_pred__liquidity__r001__t+20,stage1_pred__liquidity__r007__t+20,stage1_pred__liquidity__fr007__t+20,stage1_pred__liquidity__gc001__t+20,stage1_pred__liquidity__gc007__t+20,stage1_pred__liquidity__spread_r007_dr007__t+20,stage1_pred__liquidity__spread_gc007_r007__t+20,stage1_pred__liquidity__spread_fr007_r007__t+20,stage1_pred__demand__银行__t+20,stage1_pred__demand__基金__t+20,stage1_pred__demand__保险__t+20,stage1_pred__demand__券商__t+20,stage1_pred__demand__理财子__t+20,stage1_pred__demand__其他__t+20,omo_net,omo_inject,omo_withdraw,lpr_1y,lpr_5y,feat__yield_10y__lag1,feat__yield_10y__lag5,label__yield_10y__t+20
2020-10-13,3.195,2.1727328,2.3073268,2.3735452,2.5761793,2.524337,2.5163171,2.7665212,0.23022094,0.2938276,0.0027342672,-0.11493525,0.0033631641,0.15266082,0.42050382,-0.08082951,0.12445536,500.0,500.0,0.0,3.85,4.65,3.1861,3.1292,3.2241
2020-10-14,3.215,2.3080046,2.330317,2.432628,2.6141698,2.5977767,2.6972232,2.7758214,0.25484696,0.29233834,-0.00021396263,0.22817512,-1.6391864,0.029903203,1.8396244,-0.090811424,-0.5172158,500.0,500.0,0.0,3.85,4.65,3.195,3.1482,3.2391
2020-10-15,3.23,2.454424,2.525574,2.6690645,2.739093,2.8087099,3.1266775,3.3030484,0.20941667,0.5641272,0.06447723,0.6060394,-0.09349924,0.03552286,0.5178174,-0.07762721,0.026150456,500.0,500.0,0.0,3.85,4.65,3.215,3.1873,3.2614
2020-10-16,3.2202,2.3961701,2.497402,2.5982122,3.033974,2.9688125,3.155892,3.4238296,0.50893027,0.45104486,-0.066290475,0.011704608,-0.036016684,0.017186359,0.41213438,-0.13205048,0.23694415,700.0,700.0,0.0,3.85,4.65,3.23,3.1898,3.2715
2020-10-19,3.2005,2.1119,2.2630384,2.1684794,2.9821005,2.3819897,2.9494724,2.9839115,0.70436984,0.10570118,-0.6090475,0.4736311,-0.37410256,0.10100237,-1.2888412,-0.08012863,0.23903243,800.0,800.0,0.0,3.85,4.65,3.2202,3.1861,3.2741
2020-10-20,3.1955,1.7329257,2.1875827,1.778899,2.5913644,2.3637514,2.8409111,3.2586699,0.4894239,0.6342305,-0.28080696,-1.8639072,-0.037576523,0.026968952,0.32632786,-0.042900354,0.6613684,0.0,500.0,500.0,3.85,4.65,3.2005,3.195,3.2866
2020-10-21,3.1855,1.6668167,2.1540108,1.7208889,2.412337,2.2933438,2.755499,3.2701213,0.25673723,0.7629851,-0.10067218,0.6763386,-0.5051066,-0.099128515,1.325969,-0.0038414202,-0.31229624,200.0,700.0,500.0,3.85,4.65,3.1955,3.215,3.324
2020-10-22,3.1707,1.8501089,2.206021,1.9119437,2.3717582,2.2725203,3.154907,3.497068,0.18703279,1.0730721,-0.0828656,1.0475274,-0.14502288,-0.14458537,-0.07501183,0.0017718226,-0.11937098,0.0,500.0,500.0,3.85,4.65,3.1855,3.23,3.3487
2020-10-23,3.1957,1.9391769,2.2138057,2.0287604,2.4439993,2.367785,2.6892452,3.4183772,0.22123177,0.9022583,-0.08020629,0.19165364,-0.03477956,-0.1771961,6.028287,0.022498352,-0.16315316,300.0,1000.0,700.0,3.85,4.65,3.1707,3.2202,3.31
2020-10-26,3.1934,1.7888541,2.152588,1.839056,2.338802,2.257067,2.6660705,2.935797,0.23980637,0.49533617,-0.1252396,-1.501713,1.292339,0.010538625,1.5544767,0.014295337,0.46447498,350.0,1200.0,850.0,3.85,4.65,3.1957,3.2005,3.265
